,number,value,datetime_start,datetime_complete,duration,params_gnn_layer_type,params_learning_rate,params_n_gnn_layers,params_n_linear_layers,params_n_neurons,state
93,93,0.855,2024-04-04 01:53:30.851821,2024-04-04 01:53:32.239625,0 days 00:00:01.387804,Graph_Sage,0.00401,2,1,240,COMPLETE
94,94,0.845,2024-04-04 01:53:32.266748,2024-04-04 01:53:33.567815,0 days 00:00:01.301067,Graph_Sage,0.00801,2,1,224,COMPLETE
95,95,0.552,2024-04-04 01:53:33.590456,2024-04-04 01:53:34.833945,0 days 00:00:01.243489,Graph_Sage,0.00101,2,1,208,COMPLETE
96,96,0.845,2024-04-04 01:53:34.856732,2024-04-04 01:53:36.126480,0 days 00:00:01.269748,Graph_Sage,0.01201,2,1,208,COMPLETE
97,97,0.743,2024-04-04 01:53:36.148637,2024-04-04 01:53:37.450790,0 days 00:00:01.302153,Graph_Sage,0.015009999999999999,2,1,224,COMPLETE
98,98,0.858,2024-04-04 01:53:37.475962,2024-04-04 01:53:38.408519,0 days 00:00:00.932557,GCN,0.00701,2,1,240,COMPLETE
99,99,0.857,2024-04-04 01:53:38.432549,2024-04-04 01:53:39.365537,0 days 00:00:00.932988,GCN,0.01001,2,1,224,COMPLETE
100,100,0.852,2024-04-04 01:53:39.389508,2024-04-04 01:53:40.567616,0 days 00:00:01.178108,Graph_Sage,0.00401,2,1,192,COMPLETE
101,101,0.852,2024-04-04 01:53:40.590974,2024-04-04 01:53:41.885195,0 days 00:00:01.294221,Graph_Sage,0.00601,2,1,224,COMPLETE
102,102,0.342,2024-04-04 01:53:41.909710,2024-04-04 01:53:43.290808,0 days 00:00:01.381098,Graph_Sage,0.05301,2,1,240,COMPLETE
103,103,0.851,2024-04-04 01:53:43.316366,2024-04-04 01:53:44.874854,0 days 00:00:01.558488,Graph_Sage,0.00501,2,1,224,COMPLETE
104,104,0.843,2024-04-04 01:53:44.914696,2024-04-04 01:53:46.253245,0 days 00:00:01.338549,Graph_Sage,0.00201,2,1,208,COMPLETE
105,105,0.861,2024-04-04 01:53:46.276079,2024-04-04 01:53:47.191090,0 days 00:00:00.915011,GCN,0.00801,2,1,240,COMPLETE
106,106,0.852,2024-04-04 01:53:47.213781,2024-04-04 01:53:48.164685,0 days 00:00:00.950904,GCN,0.011009999999999999,2,1,240,COMPLETE
107,107,0.86,2024-04-04 01:53:48.186212,2024-04-04 01:53:49.193887,0 days 00:00:01.007675,GCN,0.00801,2,1,256,COMPLETE
108,108,0.106,2024-04-04 01:53:49.218974,2024-04-04 01:53:50.141385,0 days 00:00:00.922411,GCN,1e-05,2,1,240,COMPLETE
109,109,0.76,2024-04-04 01:53:50.163748,2024-04-04 01:53:51.103840,0 days 00:00:00.940092,GCN,0.050010000000000006,2,1,224,COMPLETE
110,110,0.424,2024-04-04 01:53:51.127303,2024-04-04 01:53:52.115468,0 days 00:00:00.988165,GCN,0.09901,2,1,256,COMPLETE
111,111,0.864,2024-04-04 01:53:52.138544,2024-04-04 01:53:53.025336,0 days 00:00:00.886792,GCN,0.00901,2,1,224,COMPLETE
112,112,0.867,2024-04-04 01:53:53.050919,2024-04-04 01:53:53.887650,0 days 00:00:00.836731,GCN,0.00901,2,1,208,COMPLETE
113,113,0.857,2024-04-04 01:53:53.914374,2024-04-04 01:53:54.771470,0 days 00:00:00.857096,GCN,0.00901,2,1,208,COMPLETE
114,114,0.858,2024-04-04 01:53:54.794304,2024-04-04 01:53:55.606531,0 days 00:00:00.812227,GCN,0.01401,2,1,192,COMPLETE
115,115,0.86,2024-04-04 01:53:55.629421,2024-04-04 01:53:56.481505,0 days 00:00:00.852084,GCN,0.01201,2,1,208,COMPLETE
116,116,0.854,2024-04-04 01:53:56.506627,2024-04-04 01:53:57.391082,0 days 00:00:00.884455,GCN,0.01701,2,1,224,COMPLETE
117,117,0.769,2024-04-04 01:53:57.419135,2024-04-04 01:53:58.353419,0 days 00:00:00.934284,GCN,0.00201,2,1,240,COMPLETE
118,118,0.87,2024-04-04 01:53:58.378123,2024-04-04 01:53:59.213171,0 days 00:00:00.835048,GCN,0.00401,2,1,208,COMPLETE
119,119,0.669,2024-04-04 01:53:59.237910,2024-04-04 01:54:00.372280,0 days 00:00:01.134370,GCN,0.00301,2,3,208,COMPLETE
120,120,0.501,2024-04-04 01:54:00.395724,2024-04-04 01:54:01.220500,0 days 00:00:00.824776,GCN,0.08601,2,1,192,COMPLETE
121,121,0.861,2024-04-04 01:54:01.245085,2024-04-04 01:54:02.112653,0 days 00:00:00.867568,GCN,0.00801,2,1,208,COMPLETE
122,122,0.859,2024-04-04 01:54:02.137447,2024-04-04 01:54:03.046501,0 days 00:00:00.909054,GCN,0.01001,2,1,224,COMPLETE
