,number,value,datetime_start,datetime_complete,duration,params_gnn_layer_type,params_learning_rate,params_n_gnn_layers,params_n_linear_layers,params_n_neurons,state
108,108,0.7575757575757576,2024-04-04 01:57:06.343045,2024-04-04 01:57:07.210549,0 days 00:00:00.867504,GCN,0.08900999999999999,2,3,16,COMPLETE
109,109,0.7636363636363637,2024-04-04 01:57:07.235232,2024-04-04 01:57:08.062447,0 days 00:00:00.827215,GIN,0.07201,2,3,64,COMPLETE
110,110,0.6606060606060606,2024-04-04 01:57:08.084208,2024-04-04 01:57:08.964080,0 days 00:00:00.879872,GCN,0.09901,2,3,32,COMPLETE
111,111,0.806060606060606,2024-04-04 01:57:08.986735,2024-04-04 01:57:09.730371,0 days 00:00:00.743636,GIN,0.09101,2,3,16,COMPLETE
112,112,0.8363636363636363,2024-04-04 01:57:09.753328,2024-04-04 01:57:10.581968,0 days 00:00:00.828640,GIN,0.07601,2,3,128,COMPLETE
113,113,0.7636363636363637,2024-04-04 01:57:10.605325,2024-04-04 01:57:11.449305,0 days 00:00:00.843980,GIN,0.09000999999999999,2,3,128,COMPLETE
114,114,0.6727272727272727,2024-04-04 01:57:11.474719,2024-04-04 01:57:12.372967,0 days 00:00:00.898248,GIN,0.09601,2,3,208,COMPLETE
115,115,0.7212121212121212,2024-04-04 01:57:12.397289,2024-04-04 01:57:13.139137,0 days 00:00:00.741848,GIN,0.08601,2,3,16,COMPLETE
116,116,0.7090909090909091,2024-04-04 01:57:13.162462,2024-04-04 01:57:13.901644,0 days 00:00:00.739182,GIN,0.09301,2,3,16,COMPLETE
117,117,0.6606060606060606,2024-04-04 01:57:13.927590,2024-04-04 01:57:14.684125,0 days 00:00:00.756535,GIN,0.08201,2,3,32,COMPLETE
118,118,0.6606060606060606,2024-04-04 01:57:14.704672,2024-04-04 01:57:15.604967,0 days 00:00:00.900295,GIN,0.08401,2,3,224,COMPLETE
119,119,0.6606060606060606,2024-04-04 01:57:15.625803,2024-04-04 01:57:16.467777,0 days 00:00:00.841974,GIN,0.07701,2,3,112,COMPLETE
120,120,0.696969696969697,2024-04-04 01:57:16.491203,2024-04-04 01:57:17.279164,0 days 00:00:00.787961,GIN,0.09101,2,3,80,COMPLETE
121,121,0.793939393939394,2024-04-04 01:57:17.302685,2024-04-04 01:57:18.189514,0 days 00:00:00.886829,GCN,0.06901,2,3,48,COMPLETE
122,122,0.8181818181818182,2024-04-04 01:57:18.212975,2024-04-04 01:57:19.114912,0 days 00:00:00.901937,GCN,0.06701,2,3,32,COMPLETE
123,123,0.7454545454545455,2024-04-04 01:57:19.136819,2024-04-04 01:57:20.021047,0 days 00:00:00.884228,GCN,0.06501,2,3,32,COMPLETE
124,124,0.6606060606060606,2024-04-04 01:57:20.045076,2024-04-04 01:57:20.823020,0 days 00:00:00.777944,Graph_Sage,0.07601,2,3,16,COMPLETE
125,125,0.8424242424242424,2024-04-04 01:57:20.847641,2024-04-04 01:57:21.722294,0 days 00:00:00.874653,GCN,0.08001,2,3,32,COMPLETE
126,126,0.6606060606060606,2024-04-04 01:57:21.744720,2024-04-04 01:57:22.671824,0 days 00:00:00.927104,GCN,0.08001,2,3,32,COMPLETE
127,127,0.7454545454545455,2024-04-04 01:57:22.695903,2024-04-04 01:57:23.681840,0 days 00:00:00.985937,GIN,0.03701,2,3,48,COMPLETE
128,128,0.7636363636363637,2024-04-04 01:57:23.704685,2024-04-04 01:57:24.590676,0 days 00:00:00.885991,GCN,0.058010000000000006,2,3,32,COMPLETE
129,129,0.7515151515151515,2024-04-04 01:57:24.612377,2024-04-04 01:57:25.688039,0 days 00:00:01.075662,GCN,0.07201,2,3,192,COMPLETE
130,130,0.6606060606060606,2024-04-04 01:57:25.711908,2024-04-04 01:57:26.619751,0 days 00:00:00.907843,GCN,0.07801,2,3,32,COMPLETE
